Sliding Sketch,Arrivals,ARE
input_num: 154, guess: 3, real: 3
Sl-CM,150,0
input_num: 157, guess: 3, real: 3
Sl-CM,151,0
input_num: 156, guess: 4, real: 4
Sl-CM,152,0
input_num: 136, guess: 4, real: 4
Sl-CM,153,0
input_num: 154, guess: 4, real: 4
Sl-CM,154,0
input_num: 58, guess: 3, real: 3
Sl-CM,155,0
input_num: 163, guess: 1, real: 1
Sl-CM,156,0
input_num: 39, guess: 5, real: 5
Sl-CM,157,0
input_num: 149, guess: 1, real: 1
Sl-CM,158,0
input_num: 34, guess: 4, real: 4
Sl-CM,159,0
input_num: 116, guess: 4, real: 4
Sl-CM,160,0
input_num: 116, guess: 5, real: 5
Sl-CM,161,0
input_num: 111, guess: 1, real: 1
Sl-CM,162,0
input_num: 116, guess: 6, real: 6
Sl-CM,163,0
input_num: 76, guess: 1, real: 1
Sl-CM,164,0
input_num: 175, guess: 1, real: 1
Sl-CM,165,0
input_num: 175, guess: 2, real: 2
Sl-CM,166,0
input_num: 175, guess: 3, real: 3
Sl-CM,167,0
input_num: 156, guess: 5, real: 5
Sl-CM,168,0
input_num: 13, guess: 5, real: 5
Sl-CM,169,0
input_num: 173, guess: 1, real: 1
Sl-CM,170,0
input_num: 183, guess: 1, real: 1
Sl-CM,171,0
input_num: 154, guess: 5, real: 5
Sl-CM,172,0
input_num: 122, guess: 3, real: 3
Sl-CM,173,0
input_num: 33, guess: 2, real: 2
Sl-CM,174,0
input_num: 188, guess: 1, real: 1
Sl-CM,175,0
input_num: 91, guess: 7, real: 7
Sl-CM,176,0
input_num: 197, guess: 1, real: 1
Sl-CM,177,0
input_num: 197, guess: 2, real: 2
Sl-CM,178,0
input_num: 197, guess: 3, real: 3
Sl-CM,179,0
input_num: 117, guess: 2, real: 2
Sl-CM,180,0
input_num: 199, guess: 1, real: 1
Sl-CM,181,0
input_num: 51, guess: 2, real: 2
Sl-CM,182,0
input_num: 200, guess: 1, real: 1
Sl-CM,183,0
input_num: 51, guess: 3, real: 3
Sl-CM,184,0
input_num: 34, guess: 5, real: 5
Sl-CM,185,0
input_num: 209, guess: 1, real: 1
Sl-CM,186,0
input_num: 206, guess: 1, real: 1
Sl-CM,187,0
input_num: 30, guess: 2, real: 2
Sl-CM,188,0
input_num: 111, guess: 2, real: 2
Sl-CM,189,0
input_num: 200, guess: 2, real: 2
Sl-CM,190,0
input_num: 46, guess: 1, real: 1
Sl-CM,191,0
input_num: 51, guess: 4, real: 4
Sl-CM,192,0
input_num: 91, guess: 8, real: 8
Sl-CM,193,0
